NOC,Year,GDP,Population,Medals
FRA,1976,3.72E+11,54220000,5
FRA,1980,7.01E+11,55160000,18
FRA,1984,5.31E+11,56340000,20
FRA,1988,1.02E+12,57630000,12
FRA,1992,1.40E+12,58850000,9
FRA,1996,1.61E+12,59750000,21
FRA,2000,1.36E+12,59015096,22
FRA,2004,2.12E+12,62700000,21
FRA,2008,2.92E+12,64370000,25
FRA,2012,2.68E+12,65660000,30
FRA,2016,2.60E+12,64667596,20
FRA,2020,2.60E+12,65273511,65
NED,1964,1.87E+10,12040000,5
NED,1968,2.78E+10,12660000,6
NED,1972,5.47E+10,13270000,3
NED,1984,1.44E+11,14390000,20
NED,1988,2.62E+11,14710000,3
NED,1992,3.63E+11,15130000,5
NED,1996,4.51E+11,15490000,38
NED,2000,4.16E+11,15860000,27
NED,2004,6.57E+11,16260000,4
NED,2008,9.48E+11,16410000,39
NED,2012,8.39E+11,16730000,21
NED,2016,7.84E+11,16980000,9
NED,2020,9.10E+11,17134872,31
KOR,1976,2.99E+10,35850000,1
KOR,1984,9.75E+10,40410000,6
KOR,1988,2.00E+11,42030000,28
KOR,1992,2.00E+11,43750000,28
KOR,1996,6.10E+11,45520000,10
KOR,2000,5.76E+11,47010000,12
KOR,2004,7.93E+11,48080000,14
KOR,2008,1.05E+12,49050000,41
KOR,2012,1.28E+12,50200000,18
KOR,2016,1.50E+12,51220000,13
KOR,2020,1.63E+12,51269185,14
