Name,Sex,NOC,Year,Sport,Event,Medal,GDP,Population
Fernando Lon Boissier,M,ESP,1996,Sailing,Sailing Mixed Multihull,Gold,6.43E+11,39810000
Lisa Deshawn Leslie (-Lockwood),F,USA,1996,Basketball,Basketball Women's Basketball,Gold,8.07E+12,269700000
Emily LeSueur (Porter-),F,USA,1996,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,8.07E+12,269700000
"Frederick Carlton ""Carl"" Lewis",M,USA,1996,Athletics,Athletics Men's Long Jump,Gold,8.07E+12,269700000
Donghua Li,M,SUI,1996,Gymnastics,Gymnastics Men's Pommelled Horse,Gold,3.30E+11,7062000
Li Duihong,F,CHN,1996,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Gold,8.64E+11,1218000000
Li Xiaoshuang,M,CHN,1996,Gymnastics,Gymnastics Men's Individual All-Around,Gold,8.64E+11,1218000000
Kristine Marie Lilly (-Heavey),F,USA,1996,Football,Football Women's Football,Gold,8.07E+12,269700000
Omar Linares Izquierdo,M,CUB,1996,Baseball,Baseball Men's Baseball,Gold,2.50E+10,10990000
Jeremy Porter Linn,M,USA,1996,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,8.07E+12,269700000
Liu Guoliang,M,CHN,1996,Table Tennis,Table Tennis Men's Singles,Gold,8.64E+11,1218000000
Liu Guoliang,M,CHN,1996,Table Tennis,Table Tennis Men's Doubles,Gold,8.64E+11,1218000000
Danyon Joseph Loader,M,NZL,1996,Swimming,Swimming Men's 200 metres Freestyle,Gold,7.01E+10,3732000
Danyon Joseph Loader,M,NZL,1996,Swimming,Swimming Men's 400 metres Freestyle,Gold,7.01E+10,3732000
Rebecca Rose Lobo (-Rushin),F,USA,1996,Basketball,Basketball Women's Basketball,Gold,8.07E+12,269700000
"Abraham Robertus ""Bram"" Lomans",M,NED,1996,Hockey,Hockey Men's Hockey,Gold,4.51E+11,15490000
Jeannie Longo-Ciprelli,F,FRA,1996,Cycling,"Cycling Women's Road Race, Individual",Gold,1.61E+12,59750000
Venio Losert,M,CRO,1996,Handball,Handball Men's Handball,Gold,1.39E+10,4581000
Alejandrina Mireya Luis Hernndez,F,CUB,1996,Volleyball,Volleyball Women's Volleyball,Gold,2.50E+10,10990000
Omar Luis Martnez,M,CUB,1996,Baseball,Baseball Men's Baseball,Gold,2.50E+10,10990000
"Jacob Arnold ""Koos"" Maasdijk",M,NED,1996,Rowing,Rowing Men's Coxed Eights,Gold,4.51E+11,15490000
Shannon Ann MacMillan,F,USA,1996,Football,Football Women's Football,Gold,8.07E+12,269700000
Camelia Macoviciuc-Mihalcea,F,ROU,1996,Rowing,Rowing Women's Lightweight Double Sculls,Gold,3.69E+10,22660000
