Name,Sex,NOC,Year,Sport,Event,Medal,GDP,Population
Jens Fiedler,M,GER,1996,Cycling,Cycling Men's Sprint,Gold,2.50E+12,81820000
Birgit Fischer-Schmidt,F,GER,1996,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold,2.50E+12,81820000
Oliver Fix,M,GER,1996,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Gold,2.50E+12,81820000
Thomas Flach,M,GER,1996,Sailing,Sailing Mixed Three Person Keelboat,Gold,2.50E+12,81820000
Laura lodie Flessel-Colovic,F,FRA,1996,Fencing,"Fencing Women's epee, Individual",Gold,1.61E+12,59750000
Laura lodie Flessel-Colovic,F,FRA,1996,Fencing,"Fencing Women's epee, Team",Gold,1.61E+12,59750000
Ronald Florijn,M,NED,1996,Rowing,Rowing Men's Coxed Eights,Gold,4.51E+11,15490000
Marianne Florman Christensen,F,DEN,1996,Handball,Handball Women's Handball,Gold,1.88E+11,5251000
Wilfrid Forgues,M,FRA,1996,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold,1.61E+12,59750000
Julie Maurine Foudy,F,USA,1996,Football,Football Women's Football,Gold,8.07E+12,269700000
Catherine Mai-Lan Fox,F,USA,1996,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,8.07E+12,269700000
Catherine Mai-Lan Fox,F,USA,1996,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,8.07E+12,269700000
David Ashley Fox,M,USA,1996,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,8.07E+12,269700000
Valner Frankovi,M,CRO,1996,Handball,Handball Men's Handball,Gold,1.39E+10,4581000
Fu Mingxia,F,CHN,1996,Diving,Diving Women's Springboard,Gold,8.64E+11,1218000000
Fu Mingxia,F,CHN,1996,Diving,Diving Women's Platform,Gold,8.64E+11,1218000000
Jorge Francisco Fumero Fernndez,M,CUB,1996,Baseball,Baseball Men's Baseball,Gold,2.50E+10,10990000
Carin Leslie Gabarra (Jennings-),F,USA,1996,Football,Football Women's Football,Gold,8.07E+12,269700000
Liliana Gafencu,F,ROU,1996,Rowing,Rowing Women's Coxed Eights,Gold,3.69E+10,22660000
Chryste Dionne Gaines,F,USA,1996,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,8.07E+12,269700000
Jean Galfione,M,FRA,1996,Athletics,Athletics Men's Pole Vault,Gold,1.61E+12,59750000
Pedro Francisco Garca Aguado,M,ESP,1996,Water Polo,Water Polo Men's Water Polo,Gold,6.43E+11,39810000
Idalmis Gato Moya,F,CUB,1996,Volleyball,Volleyball Women's Volleyball,Gold,2.50E+10,10990000
Ge Fei,F,CHN,1996,Badminton,Badminton Women's Doubles,Gold,8.64E+11,1218000000
Haile Gebrselassie,M,ETH,1996,Athletics,"Athletics Men's 10,000 metres",Gold,8.55E+09,58880000
Elena Georgescu-Nedelcu,F,ROU,1996,Rowing,Rowing Women's Coxed Eights,Gold,3.69E+10,22660000
Markus Gier,M,SUI,1996,Rowing,Rowing Men's Lightweight Double Sculls,Gold,3.30E+11,7062000
Michael Gier,M,SUI,1996,Rowing,Rowing Men's Lightweight Double Sculls,Gold,3.30E+11,7062000
Glenroy John Gilbert,M,CAN,1996,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,1.17E+12,29164152
Estela Gimnez Cid,F,ESP,1996,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold,6.43E+11,39810000
Drew Cameron Ginn,M,AUS,1996,Rowing,Rowing Men's Coxless Fours,Gold,4.00E+13,18310000
Gir Yeong-A,F,KOR,1996,Badminton,Badminton Mixed Doubles,Gold,6.10E+11,45520000
Slavko Golua,M,CRO,1996,Handball,Handball Men's Handball,Gold,1.39E+10,4581000
Salvador Emilio Gmez Agera,M,ESP,1996,Water Polo,Water Polo Men's Water Polo,Gold,6.43E+11,39810000
Driulys Gonzlez Morales,F,CUB,1996,Judo,Judo Women's Lightweight,Gold,2.50E+10,10990000
Guido Grtzen,M,NED,1996,Volleyball,Volleyball Men's Volleyball,Gold,4.51E+11,15490000
"Robert Karl Baldwin ""Rob"" Grabert",M,NED,1996,Volleyball,Volleyball Men's Volleyball,Gold,4.51E+11,15490000
Torben Schmidt Grael,M,BRA,1996,Sailing,Sailing Mixed Two Person Keelboat,Gold,1.46E+12,162000000
"Kimberly Elaine ""Kim"" Graham (-Miller)",F,USA,1996,Athletics,Athletics Women's 4 x 400 metres Relay,Gold,8.07E+12,269700000
Michele M. Granger,F,USA,1996,Softball,Softball Women's Softball,Gold,8.07E+12,269700000
"Nicholas David ""Nick"" Green",M,AUS,1996,Rowing,Rowing Men's Coxless Fours,Gold,4.00E+13,18310000
Kurt David Grote,M,USA,1996,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,8.07E+12,269700000
Gu Jun,F,CHN,1996,Badminton,Badminton Women's Doubles,Gold,8.64E+11,1218000000
Bruno Gudelj,M,CRO,1996,Handball,Handball Men's Handball,Gold,1.39E+10,4581000
Carlette Denise Guidry-White (-Falkquay),F,USA,1996,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,8.07E+12,269700000
Lorena Gurndez Garca,F,ESP,1996,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold,6.43E+11,39810000
Torsten Ren Gutsche,M,GER,1996,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Gold,2.50E+12,81820000
Andreas Hajek,M,GER,1996,Rowing,Rowing Men's Quadruple Sculls,Gold,2.50E+12,81820000
"Gary Wayne Hall, Jr.",M,USA,1996,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,8.07E+12,269700000
"Gary Wayne Hall, Jr.",M,USA,1996,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,8.07E+12,269700000
Conny Hamann-Boeriths,F,DEN,1996,Handball,Handball Women's Handball,Gold,1.88E+11,5251000
"Mariel Margaret ""Mia"" Hamm (-Corry, -Garciaparra)",F,USA,1996,Football,Football Women's Football,Gold,8.07E+12,269700000
"Anfernee Deon ""Penny"" Hardaway",M,USA,1996,Basketball,Basketball Men's Basketball,Gold,8.07E+12,269700000
John Lawson Hargis,M,USA,1996,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,8.07E+12,269700000
Lori D. Harrigan (-Mack),F,USA,1996,Softball,Softball Women's Softball,Gold,8.07E+12,269700000
Dionna Marie Harris,F,USA,1996,Softball,Softball Women's Softball,Gold,8.07E+12,269700000
Alvin Leonardo Harrison,M,USA,1996,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,8.07E+12,269700000
"Kerry Lorenzo ""Kenny"" Harrison",M,USA,1996,Athletics,Athletics Men's Triple Jump,Gold,8.07E+12,269700000
Juliet Haslam,F,AUS,1996,Hockey,Hockey Women's Hockey,Gold,4.00E+13,18310000
Rechelle Margaret Hawkes,F,AUS,1996,Hockey,Hockey Women's Hockey,Gold,4.00E+13,18310000
Kathleen Joan Heddle,F,CAN,1996,Rowing,Rowing Women's Double Sculls,Gold,1.17E+12,29164152
Whitney Lynn Hedgepeth (-Luther),F,USA,1996,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,8.07E+12,269700000
"Hendrik Jan ""Henk Jan"" Held",M,NED,1996,Volleyball,Volleyball Men's Volleyball,Gold,4.51E+11,15490000
Deon Marie Hemmings,F,JAM,1996,Athletics,Athletics Women's 400 metres Hurdles,Gold,7.39E+09,2559000
Mark Andrew Henderson,M,USA,1996,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,8.07E+12,269700000
Niels Laulund Henriksen,M,DEN,1996,Rowing,Rowing Men's Lightweight Coxless Fours,Gold,1.88E+11,5251000
Jos Alberto Hernndez Prez,M,CUB,1996,Baseball,Baseball Men's Baseball,Gold,2.50E+10,10990000
Ariel Hernndez Azcuy,M,CUB,1996,Boxing,Boxing Men's Middleweight,Gold,2.50E+10,10990000
"Penelope ""Penny"" Heyns",F,RSA,1996,Swimming,Swimming Women's 100 metres Breaststroke,Gold,1.48E+11,42240000
"Penelope ""Penny"" Heyns",F,RSA,1996,Swimming,Swimming Women's 200 metres Breaststroke,Gold,1.48E+11,42240000
tpnka Hilgertov (Prokov-),F,CZE,1996,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Gold,6.74E+10,10320000
Grant Henry Hill,M,USA,1996,Basketball,Basketball Men's Basketball,Gold,8.07E+12,269700000
Anette Hoffmann-Mberg,F,DEN,1996,Handball,Handball Women's Handball,Gold,1.88E+11,5251000
Detlef Hofmann,M,GER,1996,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,2.50E+12,81820000
Knut Holmann,M,NOR,1996,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Gold,1.64E+11,4370000
Csaba Horvth,M,HUN,1996,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Gold,4.67E+10,10320000
Andrew James Hoy,M,AUS,1996,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold,4.00E+13,18310000
Poul-Erik Hyer Larsen (-Engel Hyer),M,DEN,1996,Badminton,Badminton Men's Singles,Gold,1.88E+11,5251000
"Joseph Bernard ""Joe"" Hudepohl",M,USA,1996,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,8.07E+12,269700000
Justin Grant Huish,M,USA,1996,Archery,Archery Men's Individual,Gold,8.07E+12,269700000
Justin Grant Huish,M,USA,1996,Archery,Archery Men's Team,Gold,8.07E+12,269700000
Doina Ignat,F,ROU,1996,Rowing,Rowing Women's Coxed Eights,Gold,3.69E+10,22660000
Victor Nosa Ikpeba,M,NGR,1996,Football,Football Men's Football,Gold,5.11E+11,110700000
Miguel ngel Indurin Larraya,M,ESP,1996,Cycling,Cycling Men's Individual Time Trial,Gold,6.43E+11,39810000
Rey Isaac Vaillant,M,CUB,1996,Baseball,Baseball Men's Baseball,Gold,2.50E+10,10990000
Aleksandra Ivoev,F,SCG,1996,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Gold,8.74E+08,611003
Lilia Izquierdo Aguirre,F,CUB,1996,Volleyball,Volleyball Women's Volleyball,Gold,2.50E+10,10990000
Trina Marie Jackson (-Falca),F,USA,1996,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold,8.07E+12,269700000
Lisa Rae Jacob,F,USA,1996,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,8.07E+12,269700000
Lisa Rae Jacob,F,USA,1996,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold,8.07E+12,269700000
Bernd Jkel,M,GER,1996,Sailing,Sailing Mixed Three Person Keelboat,Gold,2.50E+12,81820000
"Franciscus Ronaldus Maria ""Ronald"" Jansen",M,NED,1996,Hockey,Hockey Men's Hockey,Gold,4.51E+11,15490000
Erik Alexander Jazet,M,NED,1996,Hockey,Hockey Men's Hockey,Gold,4.51E+11,15490000
Vladimir Jeli,M,CRO,1996,Handball,Handball Men's Handball,Gold,1.39E+10,4581000
Jeon Gi-Yeong,M,KOR,1996,Judo,Judo Men's Middleweight,Gold,6.10E+11,45520000
Jo Min-Seon,F,KOR,1996,Judo,Judo Women's Middleweight,Gold,6.10E+11,45520000
Allen Kenneth Johnson,M,USA,1996,Athletics,Athletics Men's 110 metres Hurdles,Gold,8.07E+12,269700000
"Richard Andrew ""Butch"" Johnson",M,USA,1996,Archery,Archery Men's Team,Gold,8.07E+12,269700000
Michael Duane Johnson,M,USA,1996,Athletics,Athletics Men's 200 metres,Gold,8.07E+12,269700000
Michael Duane Johnson,M,USA,1996,Athletics,Athletics Men's 400 metres,Gold,8.07E+12,269700000
Boidar Jovi,M,CRO,1996,Handball,Handball Men's Handball,Gold,1.39E+10,4581000
Akakios Kakiasvili,M,GRE,1996,Weightlifting,Weightlifting Men's Heavyweight I,Gold,1.46E+11,10590000
"Nikolaos ""Nikos"" Kaklamanakis",M,GRE,1996,Sailing,Sailing Men's Windsurfer,Gold,1.46E+11,10590000
Somluck Kamsing,M,THA,1996,Boxing,Boxing Men's Featherweight,Gold,1.83E+11,60130000
Nwankwo Christian Nwosu Kanu,M,NGR,1996,Football,Football Men's Football,Gold,5.11E+11,110700000
Aleksandr Aleksandrovich Karelin,M,RUS,1996,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Gold,3.92E+11,148200000
Joseph Keter,M,KEN,1996,Athletics,"Athletics Men's 3,000 metres Steeplechase",Gold,1.20E+10,28590000
Rasoul Khadem Azgadhi,M,IRI,1996,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold,1.20E+11,62290000
Artyom Aleksandrovich Khadzhibekov,M,RUS,1996,Shooting,"Shooting Men's Air Rifle, 10 metres",Gold,3.92E+11,148200000
Sergey Vladimirovich Kharkov,M,RUS,1996,Gymnastics,Gymnastics Men's Team All-Around,Gold,3.92E+11,148200000
Yekaterina Anatolyevna Khodotovich-Karsten,F,BLR,1996,Rowing,Rowing Women's Single Sculls,Gold,2.42E+10,10077608
Svetlana Vasilyevna Khorkina,F,RUS,1996,Gymnastics,Gymnastics Women's Uneven Bars,Gold,3.92E+11,148200000
Kim Dong-Mun,M,KOR,1996,Badminton,Badminton Mixed Doubles,Gold,6.10E+11,45520000
Kim Gyeong-Uk,F,KOR,1996,Archery,Archery Women's Individual,Gold,6.10E+11,45520000
Kim Gyeong-Uk,F,KOR,1996,Archery,Archery Women's Team,Gold,6.10E+11,45520000
Kim Il-Ong,M,PRK,1996,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Gold,N/A,N/A
Kim Jo-Sun,F,KOR,1996,Archery,Archery Women's Team,Gold,6.10E+11,45520000
Orestes Kindeln Olivares,M,CUB,1996,Baseball,Baseball Men's Baseball,Gold,2.50E+10,10990000
"Charles Frederick ""Karch"" Kiraly",M,USA,1996,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold,8.07E+12,269700000
Gunar Kirchbach,M,GER,1996,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold,2.50E+12,81820000
"Ulrich Gnter Hermann ""Uli"" Kirchhoff",M,GER,1996,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold,2.50E+12,81820000
"Ulrich Gnter Hermann ""Uli"" Kirchhoff",M,GER,1996,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold,2.50E+12,81820000
Grigory Anatolyevich Kiriyenko,M,RUS,1996,Fencing,"Fencing Men's Sabre, Team",Gold,3.92E+11,148200000
Balzs Kiss,M,HUN,1996,Athletics,Athletics Men's Hammer Throw,Gold,4.67E+10,10320000
Tonje Kjrgaard (-Petersen),F,DEN,1996,Handball,Handball Women's Handball,Gold,1.88E+11,5251000
Christian Klees,M,GER,1996,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold,2.50E+12,81820000
Leo Klein Gebbink,M,NED,1996,Hockey,Hockey Men's Hockey,Gold,4.51E+11,15490000
Volodymyr Volodymyrovych Klychko,M,UKR,1996,Boxing,Boxing Men's Super-Heavyweight,Gold,4.46E+10,51060000
Nenad Kljai,M,CRO,1996,Handball,Handball Men's Handball,Gold,1.39E+10,4581000
Olga Gennadyevna Klochneva-Kuznetsova,F,RUS,1996,Shooting,"Shooting Women's Air Pistol, 10 metres",Gold,3.92E+11,148200000
Rita Kbn,F,HUN,1996,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold,4.67E+10,10320000
Boris Borisovich Kokorev,M,RUS,1996,Shooting,"Shooting Men's Free Pistol, 50 metres",Gold,3.92E+11,148200000
Janne Kolling (-Johannesen),F,DEN,1996,Handball,Handball Women's Handball,Gold,1.88E+11,5251000
Gyrgy Kolonics,M,HUN,1996,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Gold,4.67E+10,10320000
Kong Linghui,M,CHN,1996,Table Tennis,Table Tennis Men's Doubles,Gold,8.64E+11,1218000000
Kerstin Kppen (Kosbab-),F,GER,1996,Rowing,Rowing Women's Quadruple Sculls,Gold,2.50E+12,81820000
Robert Marek Korzeniowski,M,POL,1996,Athletics,Athletics Men's 50 kilometres Walk,Gold,1.60E+11,38610000
"Stefka Georgieva Kostadinova (-Petrova, -Popovasileva)",F,BUL,1996,Athletics,Athletics Women's High Jump,Gold,1.23E+10,8385000
Istvn Kovcs,M,HUN,1996,Boxing,Boxing Men's Bantamweight,Gold,4.67E+10,10320000
"Inesa Mykolavna Kravets (Shuliak-, -Izvachuk)",F,UKR,1996,Athletics,Athletics Women's Triple Jump,Gold,4.46E+10,51060000
Nikolay Vyacheslavovich Kryukov,M,RUS,1996,Gymnastics,Gymnastics Men's Team All-Around,Gold,3.92E+11,148200000
Astrid Kumbernuss,F,GER,1996,Athletics,Athletics Women's Shot Put,Gold,2.50E+12,81820000
Mateusz Kusznierewicz,M,POL,1996,Sailing,Sailing Men's One Person Dinghy,Gold,1.60E+11,38610000
Kye Sun-Hui,F,PRK,1996,Judo,Judo Women's Extra-Lightweight,Gold,N/A,N/A
Venus Milette Lacey,F,USA,1996,Basketball,Basketball Women's Basketball,Gold,8.07E+12,269700000
Tania Lamarca Celada,F,ESP,1996,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold,6.43E+11,39810000
Pablo Lara Rodrguez,M,CUB,1996,Weightlifting,Weightlifting Men's Middleweight,Gold,2.50E+10,10990000
Misha Jonas Emanuel Latuhihin,M,NED,1996,Volleyball,Volleyball Men's Volleyball,Gold,4.51E+11,15490000
Susanne Munk Lauritsen (-Wilbek),F,DEN,1996,Handball,Handball Women's Handball,Gold,1.88E+11,5251000
Garba Lawal,M,NGR,1996,Football,Football Men's Football,Gold,5.11E+11,110700000
Pedro Luis Lazo Iglesias,M,CUB,1996,Baseball,Baseball Men's Baseball,Gold,2.50E+10,10990000
Le Jingyi,F,CHN,1996,Swimming,Swimming Women's 100 metres Freestyle,Gold,8.64E+11,1218000000
Lee Lai Shan,F,HKG,1996,Sailing,Sailing Women's Windsurfer,Gold,1.60E+11,5800000
