NOC,Year,GDP,Population,Medals
CUB,1976,13789579903,9554000,6
CUB,1980,19912889861,9849459,8
CUB,1992,22085858243,10740000,14
CUB,1996,25017368700,10940000,9
CUB,2000,30565400000,11126430,11
CUB,2004,38203000000,11250000,9
CUB,2008,60806300000,11240000,3
CUB,2012,73141000000,11260000,5
CUB,2016,91370000000,11335104,5
CUB,2020,1.05E+11,11326616,7
HUN,2004,1.04E+11,1012000,8
HUN,2000,47218405892,10220507,8
HUN,1996,46658755152,1032000,7
HUN,1992,38730585922,1037000,11
HUN,2008,1.58E+11,1005000,3
HUN,2012,1.28E+11,9932000,8
HUN,2016,1.28E+11,9752975,8
HUN,2020,1.55E+11,9660351,6
